method,split,kind,level,realization,macro_f1,balanced_accuracy
rbf,27,noise,0.05,13,0.7289682539682539,0.7385822510822511
rbf,27,noise,0.05,14,0.7505917841024223,0.7624458874458875
rbf,27,noise,0.05,15,0.7539087789087788,0.7624458874458875
rbf,27,noise,0.05,16,0.7407774657774657,0.7505411255411256
rbf,27,noise,0.05,17,0.7293170809872824,0.7380411255411257
rbf,27,noise,0.05,18,0.7530913703721176,0.7618506493506494
rbf,27,noise,0.05,19,0.7630434782608695,0.7743506493506493
rbf,27,noise,0.1,0,0.7371897135470239,0.7499458874458875
rbf,27,noise,0.1,1,0.7410782875899155,0.751082251082251
rbf,27,noise,0.1,2,0.7518973146199984,0.7624458874458875
rbf,27,noise,0.1,3,0.7654205473972916,0.7743506493506493
rbf,27,noise,0.1,4,0.7643359056402534,0.7743506493506493
rbf,27,noise,0.1,5,0.7624078624078624,0.7743506493506493
rbf,27,noise,0.1,6,0.7785334035334035,0.7862554112554113
rbf,27,noise,0.1,7,0.738354474982382,0.7499458874458875
rbf,27,noise,0.1,8,0.7427099247044835,0.7499458874458875
rbf,27,noise,0.1,9,0.7410782875899156,0.7504870129870129
rbf,27,noise,0.1,10,0.7450746085730919,0.7624458874458875
rbf,27,noise,0.1,11,0.7196115288220551,0.7266774891774892
rbf,27,noise,0.1,12,0.7539087789087788,0.7624458874458875
rbf,27,noise,0.1,13,0.7672161172161172,0.7743506493506493
rbf,27,noise,0.1,14,0.737861169837914,0.7505411255411255
rbf,27,noise,0.1,15,0.7755157962604771,0.7862554112554112
rbf,27,noise,0.1,16,0.7116977225672878,0.7261363636363636
rbf,27,noise,0.1,17,0.7673003325177239,0.7748917748917749
rbf,27,noise,0.1,18,0.7477096546863988,0.762987012987013
rbf,27,noise,0.1,19,0.7326084927608371,0.7499458874458875
rbf,27,noise,0.2,0,0.7309488849785775,0.7385822510822511
rbf,27,noise,0.2,1,0.7363408521303259,0.75
rbf,27,noise,0.2,2,0.727564774076402,0.7391774891774892
rbf,27,noise,0.2,3,0.7617525270977956,0.7743506493506493
rbf,27,noise,0.2,4,0.7496345029239766,0.7624458874458875
rbf,27,noise,0.2,5,0.7613460183227625,0.7743506493506493
rbf,27,noise,0.2,6,0.7124075294807003,0.7261363636363636
rbf,27,noise,0.2,7,0.6834896810506567,0.6903679653679653
rbf,27,noise,0.2,8,0.7759099657942297,0.7856601731601731
rbf,27,noise,0.2,9,0.7045440821256038,0.7272727272727273
rbf,27,noise,0.2,10,0.6890965640965641,0.7028679653679654
rbf,27,noise,0.2,11,0.7402363402363402,0.7499458874458875
rbf,27,noise,0.2,12,0.7821138211382114,0.7862554112554112
